V1016_Cas            1  25.81988994  59.99761612 129.37588672  -2.22392932  4.991  0.206  -0.8734  0.0265   0.1562  0.0429 -0.7475 -65.928  2.237
V1154_Cas            1  26.63107309  65.02629300 128.70702405   2.77403057  2.331  0.070  -1.0525  0.0761  -0.1256  0.0700 -0.1503 -35.569  0.727
IO____Cas            1  26.76130834  59.60625844 129.92059555  -2.50883785 11.548  0.410  -0.9244  0.0206   0.1996  0.0359 -0.7428 -119.174 15.290
BY____Cas            0  26.79965292  61.42248858 129.54981089  -0.73072440  1.929  0.058  -1.2132  0.0396   0.4241  0.0516 -0.5926 -51.278  2.227
VV____Cas            1  27.77924634  59.88821457 130.35854179  -2.12022003  3.242  0.123  -1.1970  0.0320  -0.0704  0.0615 -0.7060 -54.557  3.385
J015830.96+574911.6  1  29.62896619  57.81984970 131.79173047  -3.89342182 11.367  0.469  -0.6706  0.0357   0.4165  0.0422 -0.2077 -109.693  8.253
V395__Cas            1  32.62153624  63.29753427 131.67519437   1.77558045  2.640  0.061  -1.2993  0.0635   0.6768  0.0847 -0.5911 -47.477  5.487
GL____Cas            1  32.69321503  59.25369368 132.92748842  -2.06970064  5.086  0.184  -0.5815  0.0614  -0.2007  0.0573 -0.2801 -57.469  3.498
UX____Per            1  33.28118918  58.07995152 133.57901958  -3.09317798  4.811  0.164  -0.2617  0.0723   0.0526  0.0841  0.5186 -30.766  9.956
V1017_Cas            1  33.60315050  65.59944769 131.36732325   4.09575267  5.222  0.218  -0.8358  0.0316   0.1673  0.0416 -0.3463 -44.191  4.430
J021635.96+651035.5  1  34.14985374  65.17655193 131.71916996   3.76793534  5.637  0.194  -0.9858  0.0310   0.4477  0.0407 -0.2290 -51.361  6.245
V440__Per            1  35.96558739  55.36485137 135.87307374  -5.16753284  0.761  0.026  -1.8308  0.0864  -2.4155  0.0857  0.5929 -26.222  0.565
GM____Cas            1  36.73620592  60.57141487 134.40338279  -0.15550588  2.351  0.056  -0.7986  0.0362  -0.6640  0.0666  0.0051 -59.020  2.186
SZ____Cas            1  36.80736435  59.46060116 134.83733846  -1.17867956  2.278  0.068   0.1923  0.0880  -0.6801  0.0931  0.3543 -46.699  2.447
VY____Per            1  36.89776110  58.91715117 135.07730664  -1.66850890  2.067  0.068   0.0873  0.0739  -0.7883  0.0800  0.1898 -46.554  6.518
DW____Per            1  38.46902157  57.02749614 136.55805131  -3.10930856  3.358  0.115  -0.9444  0.0790  -0.4190  0.0914  0.4198 -52.911  2.996
UY____Per            1  38.63041588  58.83161775 135.93996979  -1.41201933  2.332  0.075  -0.1301  0.0658  -0.9865  0.0801  0.2745 -56.861  5.326
GO____Cas            1  38.77408126  59.38407485 135.79355356  -0.87422743  3.438  0.111  -0.3917  0.1744  -0.2191  0.1733  0.6969 -73.158  5.555
DF____Cas            1  41.18047635  61.46469941 136.03506264   1.50896906  2.612  0.066  -0.4463  0.0360  -0.2211  0.0535  0.3419 -32.195  7.506
LT____Cas            1  41.46453781  63.30457457 135.37258166   3.23070155  5.792  0.247  -1.2380  0.0285   0.4368  0.0406 -0.1189 -72.559  3.821
SU____Cas            0  42.99483400  68.88846685 133.46751140   8.51943819  0.371  0.014   3.2310  0.0848  -7.8016  0.1196  0.0619  -6.141  1.311
V833__Cas            1  43.66666398  63.55480729 136.14709444   3.89038256  5.101  0.183  -0.8130  0.0495   1.1398  0.0554  0.1696 -68.723  3.688
V371__Per            1  43.87992236  42.58881217 146.02115842 -14.65196215  3.303  0.110  -2.5309  0.0779  -0.3165  0.0826  0.3106 -13.375  7.641
J045.1949+59.3418    1  45.19492269  59.34182251 138.75998239   0.50439378  5.977  0.304  -1.4390  0.0490   0.5414  0.0778  0.4730 -56.218  5.829
V883__Per            1  46.03670355  57.29821852 140.13157191  -1.07372997  4.881  0.160  -0.0813  0.0779  -0.4139  0.0799  0.0638 -65.374  2.666
V836__Cas            1  47.18169636  62.13752918 138.23847890   3.41735783  2.606  0.082   1.4533  0.0392  -0.4639  0.0479  0.0571 -51.794  1.718
V598__Per            1  47.78060918  55.50823873 141.86100221  -2.14428653  2.431  0.075   0.7704  0.1194  -1.0301  0.1009  0.2505 -31.333  4.868
J031346.98+632058.2  1  48.44587257  63.34947951 138.11620648   4.75488564  5.919  0.294  -0.8516  0.0313   0.5822  0.0332  0.0789 -83.044  6.089
V891__Per            1  48.72724360  55.88028632 142.12635462  -1.55037974  2.499  0.071   0.2716  0.0847  -1.0533  0.0818  0.2232 -10.918  4.411
V892__Per            1  48.77428823  56.21255017 141.97530981  -1.25324540  2.797  0.094   0.9879  0.1515  -1.0324  0.0976  0.1453 -43.514  3.866
V895__Per            1  50.05961634  55.11583923 143.17192062  -1.79857499  3.807  0.195  -0.2419  0.0913   0.0647  0.0753  0.2582 -28.052  3.181
AC____Cam            1  50.94951245  59.35566901 141.27062163   2.02158619  3.157  0.069  -0.1457  0.0394  -0.6175  0.0483  0.2381 -50.997  4.439
AD____Cam            1  52.35820609  60.44646683 141.24784175   3.32090465  5.637  0.206   0.0582  0.0404   0.5557  0.0503  0.2102 -43.583  7.462
J053.5926+54.6072    1  53.59268890  54.60724133 145.14195432  -1.08157119  3.009  0.094  -0.2691  0.0708  -0.7439  0.0637  0.1323 -15.647  6.397
CF____Cam            1  53.80003631  58.29470121 143.08849609   1.98356051  3.787  0.093  -0.1784  0.0843   0.2689  0.0899  0.3443 -38.197  2.714
J053.9542+57.1479    1  53.95423377  57.14794966 143.82565328   1.10105161  6.456  0.140  -0.2189  0.0782   0.3389  0.0869  0.3855 -56.728  3.467
AM____Cam            1  54.08394715  62.28722675 140.85754836   5.30083918  4.724  0.180   0.3307  0.0393   0.4288  0.0429  0.0776 -46.526  4.405
MM____Per            1  56.34731424  48.08347574 150.42948369  -5.28184095  3.054  0.090   1.0688  0.0959  -1.7417  0.0669  0.0937  -4.198  3.931
J034529.70+532608.1  1  56.37371857  53.43559230 147.15223935  -1.04595290  3.390  0.117   0.0735  0.1410  -0.3015  0.0989 -0.3304 -30.852  3.818
AB____Cam            1  56.53438614  58.78422092 143.93782343   3.23095007  4.764  0.176  -0.0028  0.0579  -0.5384  0.0529  0.2217 -36.123  5.101
OX____Cam            1  57.10697678  59.44226844 143.76098666   3.92971052  1.561  0.053   0.5647  0.0453  -0.7100  0.0471  0.3210 -27.597  3.916
RW____Cam            1  58.59070209  58.65332943 144.85319015   3.79868577  1.766  0.062  -2.0333  0.3089   1.2257  0.2640  0.0798 -10.242  6.221
PV____Cam            1  59.09326503  57.25729885 145.95472370   2.89826281  4.970  0.163   0.0644  0.0481   0.7876  0.0462  0.3057 -40.305  2.268
MN____Cam            1  59.37392543  54.93807366 147.57061603   1.22621441  3.053  0.081  -0.1270  0.0741  -0.7301  0.0687  0.4066 -59.389  2.923
V938__Per            1  59.90901928  52.79069343 149.20370300  -0.20350932  3.117  0.078  -0.0509  0.0937  -0.7787  0.0782  0.0581 -17.989  4.465
MQ____Cam            1  60.37887548  55.04533226 147.93837179   1.68308860  4.075  0.091   0.2739  0.0544   0.0943  0.0471  0.3392 -34.311  3.233
J060.9207+52.6701    1  60.92077635  52.67014120 149.74490326   0.10795942  4.882  0.102   0.4048  0.0560  -0.3239  0.0404  0.5364 -33.619  1.891
QS____Cam            1  60.94355022  57.24772713 146.71967732   3.54518538  4.238  0.128  -0.3145  0.0543   0.2340  0.0443  0.1238 -33.498  2.928
RX____Cam            0  61.24359271  58.65978116 145.89655144   4.70502348  0.868  0.035  -1.0298  0.0634  -0.3927  0.0526 -0.0374 -49.117  3.767
MZ____Cam            1  61.31641112  54.60316133 148.63620772   1.70881557  2.636  0.060  -0.4469  0.0759  -0.8696  0.0644  0.2031 -13.992  2.919
LO____Cam            1  61.53736310  58.80874504 145.91019895   4.91774863  4.135  0.136  -0.2545  0.0525  -0.3286  0.0507  0.0355 -32.765  4.781
J062.4556+49.7355    1  62.45563955  49.73554479 152.42505188  -1.42622315  5.870  0.226   0.0286  0.0782  -0.0583  0.0549 -0.0541 -71.879  4.413
QX____Cam            1  62.52264157  61.77725008 144.24866949   7.43202707  4.453  0.181   0.3130  0.0330  -0.0418  0.0321 -0.0195 -19.536  4.365
J041610.27+520823.5  1  64.04279263  52.13984909 151.50440444   1.00949219  6.611  0.175  -0.1623  0.0430  -0.0517  0.0314  0.2634 -43.023  5.608
SX____Per            1  64.27527952  41.73183224 158.87347526  -6.35541811  3.192  0.120   0.5620  0.0848  -1.2524  0.0535  0.0013  11.396  4.742
J064.9276+50.1240    1  64.92768582  50.12400899 153.30879012  -0.04705748  6.625  0.179   0.3353  0.0515  -0.2093  0.0377  0.2781 -35.037  6.336
AS____Per            1  64.94524473  48.95326133 154.13890168  -0.87273963  1.442  0.052   0.3581  0.0591  -2.4111  0.0392  0.2319 -13.205 11.357
NSVS6794216          1  65.44005926  34.06980683 165.03219221 -11.10040366 10.555  0.463   0.3259  0.0617  -0.4238  0.0460  0.1578 -20.334 15.687
J065.6485+45.5819    1  65.64857167  45.58191562 156.85837883  -2.92378885  3.407  0.101  -0.0627  0.0905  -1.0720  0.0568 -0.3179 -19.154  3.777
HZ____Per            1  66.40539213  45.62031995 157.20257507  -2.51925323  5.216  0.193   0.1057  0.1255   0.5351  0.0815 -0.2459 -11.632  9.982
J042756.25+525304.0  1  66.98436410  52.88445416 152.24213971   2.80253435  5.096  0.157  -0.2047  0.0471   0.2554  0.0368  0.1804 -40.581  1.531
V359__Cam            1  67.57792192  53.94017594 151.71947013   3.78610883  5.558  0.185   0.6616  0.0460  -0.5523  0.0399  0.0718 -19.175  4.245
V957__Per            1  67.63957026  48.07851666 156.01220935  -0.20868529  4.648  0.118   0.3324  0.0956  -0.6191  0.0536 -0.1032 -22.718  4.969
J068.6921+49.4226    1  68.69215388  49.42264889 155.50153361   1.21520629  5.519  0.111   0.0514  0.0617  -0.7162  0.0396 -0.0391 -19.640  2.504
SZ____Tau            1  69.31155358  18.54301272 179.48501419 -18.74119386  0.566  0.029  -4.6076  0.1286  -5.3899  0.0542 -0.1578   3.524  2.009
OT____Per            1  69.65807592  47.74028020 157.17709323   0.55812675  7.761  0.372   0.2290  0.0977   0.0406  0.0583 -0.1865 -27.925  6.469
HQ____Per            1  70.99117318  40.83477909 162.99354063  -3.28806853  5.592  0.174   0.6320  0.1003  -0.1920  0.0761  0.4021 -30.584  4.952
GSC02901-00089       1  71.34955292  42.92220461 161.58380555  -1.72438990  3.316  0.123  -0.5106  0.0609  -1.7777  0.0470  0.2828 -25.220  6.796
AW____Per            0  71.94298042  36.72278128 166.61765501  -5.38587842  0.815  0.029   0.3376  0.1045  -1.3448  0.0655  0.1119  11.605  3.282
SV____Per            0  72.44976566  42.28970488 162.59007444  -1.51460598  2.427  0.077   5.4616  0.4085  -1.7324  0.3202  0.0585  -9.889  7.167
EW____Aur            1  72.85353454  38.18855101 165.94874003  -3.89377489  6.826  0.254   0.2888  0.0581  -0.1865  0.0375  0.2102 -38.086  4.892
J072.8898+47.7886    1  72.88985338  47.78868382 158.55677701   2.23694692  6.023  0.230   0.1807  0.0654  -0.2259  0.0464  0.0232 -31.229  5.633
J073.9358+36.3437    1  73.93586611  36.34372588 167.92944267  -4.38613304  4.306  0.126   0.4179  0.0717  -1.2469  0.0497  0.1181 -17.382  2.627
J074.0591+40.2602    1  74.05909688  40.26021199 164.92771002  -1.86303033  7.174  0.229   0.5160  0.0499  -0.2950  0.0360  0.1484 -10.700  4.645
V470__Aur            1  74.06343861  44.78185043 161.40228135   0.96890626  4.690  0.124   0.2662  0.0644   0.0772  0.0497  0.1438 -37.885  6.352
RX____Aur            1  75.34662482  39.96038151 165.77344975  -1.27583985  1.585  0.053   1.3226  0.1003  -3.1564  0.0756  0.1705 -23.772  2.303
CK____Cam            1  76.63187927  55.35351534 153.99206161   8.71502174  0.641  0.022   4.3598  0.0474  -3.0915  0.0424 -0.3168  -8.380  3.225
SY____Aur            1  78.16345220  42.83178012 164.74806821   2.13816259  2.524  0.076   0.9839  0.1102  -0.4765  0.0686 -0.3945  -5.121  1.872
