elapsed_days,stamp_diff_arcsec,lrl_diff_arcsec,interp_diff_arcsec,timing_diff_days
11699.900,-26.2160,13.7438,13.7124,1.760146e-3
11787.850,1111.5862,13.7987,13.8188,1.773278e-3
11875.850,-26.6099,13.9501,13.9179,1.786451e-3
11963.800,-26.8064,14.0543,14.0216,1.799696e-3
12051.800,-27.0046,14.1574,14.1248,1.812892e-3
12139.750,-27.2014,14.2600,14.2264,1.825977e-3
12227.700,-27.3984,14.3634,14.3295,1.839172e-3
12315.700,-27.5972,14.4667,14.4325,1.852397e-3
12403.650,-27.7945,14.5719,14.5371,1.865746e-3
12491.650,-27.9929,14.6749,14.6403,1.878949e-3
12579.600,-28.1902,14.7784,14.7428,1.892126e-3
12667.550,-28.3875,14.8822,14.8463,1.905371e-3
12755.550,-28.5866,14.9857,14.9496,1.918636e-3
12843.500,-28.7836,15.0905,15.0538,1.931939e-3
12931.500,-28.9815,15.1933,15.1573,1.945123e-3
13019.450,-29.1780,15.2974,15.2604,1.958318e-3
13107.400,-29.3744,15.4011,15.3637,1.971528e-3
13195.400,-29.5728,15.5048,15.4673,1.984780e-3
13283.350,-29.7685,15.6077,15.5694,1.997865e-3
13371.300,1108.0021,15.6676,15.6766,2.011022e-3
13459.300,-30.1612,15.8145,15.7755,2.024146e-3
13547.250,-30.3567,15.9188,15.8794,2.037376e-3
13635.250,-30.5546,16.0220,15.9825,2.050552e-3
13723.200,-30.7501,16.1228,16.0838,2.063563e-3
13811.150,-30.9459,16.2259,16.1864,2.076671e-3
13899.150,-31.1437,16.3294,16.2897,2.089871e-3
13987.100,-31.3399,16.4337,16.3933,2.103113e-3
14075.100,-31.5381,16.5366,16.4967,2.116310e-3
14163.050,-31.7348,16.6388,16.5977,2.129350e-3
14251.000,-31.9317,16.7424,16.7008,2.142551e-3
14339.000,-32.1306,16.8455,16.8038,2.155770e-3
14426.950,-32.3278,16.9505,16.9082,2.169118e-3
14514.900,1105.4651,17.0103,17.0152,2.182317e-3
14602.900,-32.7240,17.1568,17.1138,2.195487e-3
14690.850,-32.9214,17.2602,17.2166,2.208702e-3
14778.850,-33.1209,17.3709,17.3203,2.221991e-3
14866.800,-33.3182,17.4759,17.4244,2.235312e-3
14954.750,-33.5143,17.5797,17.5281,2.248510e-3
15042.750,-33.7128,17.6832,17.6310,2.261696e-3
15130.700,-33.9094,17.7872,17.7344,2.274932e-3
15218.700,-34.1082,17.8910,17.8386,2.288220e-3
15306.650,-34.3038,17.9940,17.9405,2.301310e-3
15394.600,-34.4988,18.0979,18.0442,2.314463e-3
